ABCB4;ABC BRASIL;PN N2;107.443.785;"0,453"
BRSR6;BANRISUL;PNB ED N1;301.212.485;"0,646"
BBSE3;BBSEGURIDADE;ON NM;644.598.942;"4,113"
BBDC3;BRADESCO;ON EJ N1;1.095.602.044;"2,522"
BBDC4;BRADESCO;PN EJ N1;928.931.988;"2,392"
BRAP4;BRADESPAR;PN N1;373.276.882;"1,445"
BBAS3;BRASIL;ON NM;704.206.631;"3,746"
AGRO3;BRASILAGRO;ON NM;94.906.642;"0,465"
CXSE3;CAIXA SEGURI;ON NM;769.626.747;"2,383"
CMIG3;CEMIG;ON N1;697.501.384;"1,633"
CMIG4;CEMIG;PN N1;2.779.044.864;"5,422"
CIEL3;CIELO;ON NM;1.629.173.157;"1,751"
CSMG3;COPASA;ON NM;280.281.550;"1,058"
CPLE3;COPEL;ON N2;1.933.852.936;"3,043"
CPLE6;COPEL;PNB N2;2.497.358.619;"4,391"
CPFE3;CPFL ENERGIA;ON NM;279.196.101;"1,744"
CMIN3;CSNMINERACAO;ON N2;1.651.625.461;"1,613"
CURY3;CURY S/A;ON ED NM;189.780.177;"0,706"
DIRR3;DIRECIONAL;ON NM;161.611.773;"0,786"
EGIE3;ENGIE BRASIL;ON ED NM;379.588.776;"3,144"
FESA4;FERBASA;PN N1;238.915.193;"0,368"
FLRY3;FLEURY;ON NM;358.151.794;"0,997"
GGBR4;GERDAU;PN N1;1.507.037.227;"5,555"
GOAU4;GERDAU MET;PN N1;982.164.518;"2,1"
RANI3;IRANI;ON ED NM;158.416.009;"0,269"
ITSA4;ITAUSA;PN N1;1.181.863.481;"2,285"
JBSS3;JBS;ON NM;600.467.692;"2,847"
JHSF3;JHSF PART;ON NM;445.048.280;"0,36"
KEPL3;KEPLER WEBER;ON NM;262.604.254;"0,506"
KLBN11;KLABIN S/A;UNT EDB N2;618.944.624;"2,567"
LAVV3;LAVVI;ON NM;109.830.018;"0,194"
POMO4;MARCOPOLO;PN N2;991.090.731;"1,283"
LEVE3;METAL LEVE;ON NM;78.622.207;"0,494"
BEEF3;MINERVA;ON NM;388.213.386;"0,474"
MTRE3;MITRE REALTY;ON NM;93.160.150;"0,071"
PETR3;PETROBRAS;ON EDR N2;568.588.102;"4,832"
PETR4;PETROBRAS;PN EDR N2;626.099.472;"5,014"
PLPL3;PLANOEPLANO;ON NM;80.877.054;"0,159"
POSI3;POSITIVO TEC;ON ED NM;109.176.875;"0,192"
SAPR4;SANEPAR;PN N2;1.498.311.209;"1,599"
SANB11;SANTANDER BR;UNT;438.610.932;"2,407"
STBP3;SANTOS BRP;ON NM;1.005.674.755;"2,46"
CSNA3;SID NACIONAL;ON;893.607.966;"2,382"
TAEE11;TAESA;UNT ED N2;325.054.993;"2,167"
TASA4;TAURUS ARMAS;PN ED N2;100.769.484;"0,219"
TGMA3;TEGMA;ON NM;47.592.497;"0,235"
VIVT3;TELEF BRASIL;ON;271.791.958;"2,361"
TIMS3;TIM;ON NM;819.629.671;"2,633"
TRPL4;TRAN PAULIST;PN N1;588.635.884;"2,861"
UNIP6;UNIPAR;PNB;76.011.451;"0,761"
USIM5;USIMINAS;PNA N1;766.083.327;"1,175"
VALE3;VALE;ON NM;369.231.968;"4,572"
WIZC3;WIZ CO;ON NM;111.946.772;"0,145"
